Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
OCE205-2-100GGC,,0.49,1.49,,1.49,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.49,1.38,,1.38,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.5,1.35,,1.35,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.5,1.393,,1.393,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.5,1.56,,1.56,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.5,1.27,,1.27,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.51,1.31,,1.31,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.51,1.35,,1.35,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.51,1.33,,1.33,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.52,1.56,,1.56,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.52,1.413,,1.413,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.52,1.24,,1.24,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.52,1.44,,1.44,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.53,1.19,,1.19,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.53,1.31,,1.31,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.53,1.4,,1.4,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.53,1.5,,1.5,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.53,1.35,,1.35,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
